nonstereo_aromatic_smiles,accession,standard_type,pPot_mean,chembl_cid,chembl_tid
Brc1ccc(-c2nn(-c3ccccc3)cc2-c2nc3ccccc3[nH]2)cc1,O43570,Kd,7.137272471682025,CHEMBL3809848,CHEMBL3242
C#CCCCOc1ccc2ccc(=O)oc2c1,O43570,Kd,6.431798275933005,CHEMBL3121782,CHEMBL3242
C#CCCCOc1ccc2ccc(=S)oc2c1,O43570,Kd,6.3872161432802645,CHEMBL3760055,CHEMBL3242
C#CCN(CC#C)CCCCOc1ccc(S(N)(=O)=O)cc1,O43570,Kd,9.096910013008056,CHEMBL4435346,CHEMBL3242
C#CCN(CC#C)CCc1ccc(S(N)(=O)=O)cc1,O43570,Kd,8.040958607678906,CHEMBL4566851,CHEMBL3242
C#CCN(CC#C)c1ccc(S(N)(=O)=O)cc1,O43570,Kd,8.309803919971486,CHEMBL3402973,CHEMBL3242
C#CCN1C(=O)c2ccccc2S1(=O)=O,O43570,Kd,6.2441251443275085,CHEMBL3125560,CHEMBL3242
C#CCNC(=O)c1ccc(S(N)(=O)=O)cc1,O43570,Kd,9.0,CHEMBL386542,CHEMBL3242
C#CCNc1ccc(S(N)(=O)=O)cc1,O43570,Kd,6.105794740857917,CHEMBL4454802,CHEMBL3242
C#CCNc1ccc2c(C)cc(=O)oc2c1,O43570,Kd,7.459670525209126,CHEMBL4586124,CHEMBL3242
C#CCOC(=O)c1ccc(S(N)(=O)=O)cc1,O43570,Kd,8.080921907623926,CHEMBL217569,CHEMBL3242
C#CCOC1=NS(=O)(=O)OC(C)=C1,O43570,Kd,6.7495799976911055,CHEMBL3322438,CHEMBL3242
C#CCOP(=O)(Oc1ccc(S(N)(=O)=O)cc1)c1ccccc1,O43570,Kd,7.5478258442464226,CHEMBL4447288_CHEMBL4464493_CHEMBL4519039,CHEMBL3242
C#CCOc1c(C=NCc2ccc(S(N)(=O)=O)cc2)cccc1OC,O43570,Kd,6.180916924256297,CHEMBL4435171,CHEMBL3242
C#CCOc1cc(N(CC)CC)ccc1C=NCc1ccc(S(N)(=O)=O)cc1,O43570,Kd,6.03531618502396,CHEMBL4556773,CHEMBL3242
C#CCOc1ccc(Br)cc1C=NCc1ccc(S(N)(=O)=O)cc1,O43570,Kd,5.134008199873724,CHEMBL4476824,CHEMBL3242
C#CCOc1ccc(C=NCc2ccc(S(N)(=O)=O)cc2)cc1,O43570,Kd,6.051440337891039,CHEMBL4539044,CHEMBL3242
C#CCOc1ccc(C=NCc2ccc(S(N)(=O)=O)cc2)cc1OC,O43570,Kd,5.531357331608488,CHEMBL4514845,CHEMBL3242
C#CCOc1ccc(S(N)(=O)=O)cc1,O43570,Kd,8.638272163982407,CHEMBL3402961,CHEMBL3242
C#CCOc1ccc([N+](=O)[O-])cc1C=NCc1ccc(S(N)(=O)=O)cc1,O43570,Kd,5.240181122625174,CHEMBL4582534,CHEMBL3242
C#CCOc1ccc2c(c1)C=CS(=O)(=O)O2,O43570,Kd,7.351639989019068,CHEMBL4448721,CHEMBL3242
C#CCOc1ccc2c(c1)OS(=O)(=O)C=C2,O43570,Kd,7.518557371497695,CHEMBL4519372,CHEMBL3242
