nonstereo_aromatic_smiles,accession,standard_type,pPot_mean,chembl_cid,chembl_tid
Brc1ccc(-c2nn(-c3ccccc3)cc2-c2nc3ccccc3[nH]2)cc1,P00915,Kd,4.474307475494989,CHEMBL3809848,CHEMBL261
Brc1ccc(NN=C2C(c3ccccc3)=NN=C2c2ccccc2)cc1,P00915,Kd,8.97469413473523,CHEMBL5193850,CHEMBL261
Brc1ccc2c(c1)Cc1c-2[nH]c2ccccc12,P00915,Kd,4.877456475931246,CHEMBL593667,CHEMBL261
C#CCN(CC#C)CCCCOc1ccc(S(N)(=O)=O)cc1,P00915,Kd,6.087937444411498,CHEMBL4435346,CHEMBL261
C#CCN(CC#C)CCc1ccc(S(N)(=O)=O)cc1,P00915,Kd,5.396422631848534,CHEMBL4566851,CHEMBL261
C#CCN(CC#C)c1ccc(S(N)(=O)=O)cc1,P00915,Kd,5.1938200260161125,CHEMBL3402973,CHEMBL261
C#CCN(CC#C)c1nnc(S(N)(=O)=O)s1,P00915,Kd,5.246800085800584,CHEMBL3410761,CHEMBL261
C#CCNC(=O)c1ccc(S(N)(=O)=O)cc1,P00915,Kd,5.214670164989233,CHEMBL386542,CHEMBL261
C#CCNc1ccc(S(N)(=O)=O)cc1,P00915,Kd,6.06971335275448,CHEMBL4454802,CHEMBL261
C#CCOC(=O)c1ccc(S(N)(=O)=O)cc1,P00915,Kd,5.3979400086720375,CHEMBL217569,CHEMBL261
C#CCOP(=O)(Oc1ccc(S(N)(=O)=O)cc1)c1ccccc1,P00915,Kd,6.35583780871607,CHEMBL4447288_CHEMBL4464493_CHEMBL4519039,CHEMBL261
C#CCOc1ccc(S(N)(=O)=O)cc1,P00915,Kd,5.630784142589857,CHEMBL3402961,CHEMBL261
C#CCOc1ccc2ccc(=O)oc2c1,P00915,Kd,4.142667503568732,CHEMBL308819,CHEMBL261
C#CCSc1ccc(S(N)(=O)=O)cc1,P00915,Kd,7.51999305704285,CHEMBL4462614,CHEMBL261
C#CCSc1ccncc1S(N)(=O)=O,P00915,Kd,5.079876673709276,CHEMBL1164486,CHEMBL261
C#Cc1ccc(S(N)(=O)=O)cc1,P00915,Kd,5.96657624451305,CHEMBL272881,CHEMBL261
C#Cc1cccc(S(N)(=O)=O)c1,P00915,Kd,6.074172425375258,CHEMBL1232090,CHEMBL261
C=C(C)C(=O)OCCOC(=O)C1=C(C)N(CCCCO)C(=S)NC1c1ccc(C)cc1,P00915,Kd,8.366531544420413,CHEMBL5175133,CHEMBL261
C=C(C)C(=O)OCCOC(=O)C1=C(C)N(CCCCO)C(=S)NC1c1ccccc1,P00915,Kd,8.366531544420413,CHEMBL5207753,CHEMBL261
C=C(C)C(=O)OCCOC(=O)C1=C(C)NC(=S)NC1c1ccc(C)cc1,P00915,Kd,7.324221658325915,CHEMBL5191286,CHEMBL261
C=C(C)C(COC(=O)c1cccnc1)c1c(OC)ccc2ccc(=O)oc12,P00915,Kd,5.2335871528876,CHEMBL2334352,CHEMBL261
C=C(C)C1CCC2(COS(N)(=O)=O)CCC3(C)C(CCC4C5(C)CCC(OS(N)(=O)=O)C(C)(C)C5CCC43C)C12,P00915,Kd,6.96657624451305,CHEMBL2113026,CHEMBL261
C=C(C)C=Cc1c(OC)c2c(c3ccc(=O)oc13)OC(C)(C)C=C2,P00915,Kd,5.115771230367396,CHEMBL2334004,CHEMBL261
C=C(C)CNS(=O)(=O)c1ccc(N)cc1,P00915,Kd,5.146545158631934,CHEMBL2333969,CHEMBL261
C=C(Cl)CN(CC(=C)Cl)S(=O)(=O)c1ccc(N)cc1,P00915,Kd,5.167746629802992,CHEMBL2333977,CHEMBL261
C=C(Cl)CNS(=O)(=O)c1ccc(N)cc1,P00915,Kd,5.249800272170818,CHEMBL2333976,CHEMBL261
C=CCNC(=S)NNC(=O)c1ccccc1O,P00915,Kd,6.3851027839668655,CHEMBL3633783,CHEMBL261
C=CCNC(=S)NNC(=O)c1ccncc1,P00915,Kd,6.059981844992336,CHEMBL1479002,CHEMBL261
C=CCNc1ccc(S(N)(=O)=O)cc1,P00915,Kd,5.6823544567788415,CHEMBL2333964,CHEMBL261
C=CCNc1ccncc1S(N)(=O)=O,P00915,Kd,5.052566278112949,CHEMBL1164966,CHEMBL261
C=CCOC(=O)C1=C(C)N(CC(C)O)C(=S)NC1c1ccc(N(C)C)cc1,P00915,Kd,8.366531544420413,CHEMBL5196687,CHEMBL261
C=CCOC(=O)C1=C(C)NC(=S)N(CC(O)CCl)C1c1ccccc1,P00915,Kd,6.367299813803406,CHEMBL5173808,CHEMBL261
C=CCOC(=O)C1=C(C)NC(=S)NC1c1ccc(OC)cc1,P00915,Kd,7.324221658325915,CHEMBL5185906,CHEMBL261
C=CCOC(=O)C1=C(C)NC(=S)NC1c1ccccc1,P00915,Kd,7.324221658325915,CHEMBL4633493,CHEMBL261
C=CCOc1cc(=O)oc2ccccc12,P00915,Kd,4.364516253185088,CHEMBL1957180,CHEMBL261
C=CCOc1cc(=S)oc2ccccc12,P00915,Kd,5.0343280287798935,CHEMBL1957183,CHEMBL261
C=CCOc1ccc(S(N)(=O)=O)cc1,P00915,Kd,6.105130343254748,CHEMBL3402960,CHEMBL261
C=CCOc1ccc2ccc(=O)oc2c1,P00915,Kd,4.137272471682025,CHEMBL432745,CHEMBL261
C=CCOc1ccc2ccc(=S)oc2c1,P00915,Kd,5.119186407719209,CHEMBL1957182,CHEMBL261
C=CCOc1ccc2oc(=O)ccc2c1,P00915,Kd,4.518557371497695,CHEMBL1957172,CHEMBL261
C=CCOc1ccc2oc(=S)ccc2c1,P00915,Kd,5.070070439915412,CHEMBL1957181,CHEMBL261
C=CCn1c(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)nc2ccc(C)cc2c1=O,P00915,Kd,6.924453038607469,CHEMBL3337908,CHEMBL261
