nonstereo_aromatic_smiles,accession,standard_type,pPot_mean,chembl_cid,chembl_tid
Brc1ccc(-c2nc3ccc(Nc4ccnc5ccccc45)cc3[nH]2)cc1,P35968,IC50,6.7447274948966935,CHEMBL3323605,CHEMBL279
Brc1ccc(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)cc1,P35968,IC50,6.42021640338319,CHEMBL3321905,CHEMBL279
C#CCOC1C(C)C(COS(=O)(=O)C=C)OC1n1nc(-c2ccc(C)cc2)c2c(N)ncnc21,P35968,IC50,7.060480747381382,CHEMBL5280361,CHEMBL279
C#CCON=Cc1c(N)ncnc1Oc1ccc2[nH]c(C)cc2c1F,P35968,IC50,7.2839966563652,CHEMBL219676,CHEMBL279
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,P35968,IC50,7.299988937677888,CHEMBL1079742_CHEMBL553,CHEMBL279
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(CN4CCSC4)ccc2-3)cs1)COc1ccccc1,P35968,IC50,7.619788758288394,CHEMBL224027,CHEMBL279
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4cccn4)ccc2-3)cs1)COc1ccccc1,P35968,IC50,7.698970004336019,CHEMBL224889,CHEMBL279
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4ccnc4)ccc2-3)cs1)COc1ccccc1,P35968,IC50,6.709965388637482,CHEMBL224834,CHEMBL279
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4ccnn4)ccc2-3)cs1)COc1ccccc1,P35968,IC50,6.906578314837764,CHEMBL224917,CHEMBL279
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4cncn4)ccc2-3)cs1)COc1ccccc1,P35968,IC50,7.207608310501746,CHEMBL224918,CHEMBL279
C(#Cc1cc(-c2n[nH]c3c2Cc2ccccc2-3)cs1)COc1ccccc1,P35968,IC50,5.329754146925875,CHEMBL389499,CHEMBL279
C(=Cc1ccccc1)C(=NNc1nncc2ccccc12)c1ccccc1,P35968,IC50,9.3767507096021,CHEMBL3903713,CHEMBL279
C=C(CCC(C)C1CCC2C(CCc3cc(O)ccc3C)C(=O)CCC12C)C(C)C,P35968,IC50,5.314258261397736,CHEMBL1922225,CHEMBL279
C=C(CN1CCOCC1)C(=O)Nc1ccc(NC(=O)Nc2ccc(-c3cc(C)nc4noc(N)c34)cc2)cc1C,P35968,IC50,6.777283528852417,CHEMBL4238294,CHEMBL279
