nonstereo_aromatic_smiles,accession,standard_type,pPot_mean,chembl_cid,chembl_tid
C#CC(=O)N1CCC(OC(=O)NCc2ccc(C(=O)Nc3ccccc3N)cc2)CC1,Q13547,IC50,6.177178354696896,CHEMBL5395245,CHEMBL325
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)c(Cl)cc1Cl,Q13547,IC50,5.482804102050025,CHEMBL5177240,CHEMBL325
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)ccc1Cl,Q13547,IC50,7.522878745280337,CHEMBL5170598,CHEMBL325
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCC(=O)NO)ccc1Cl,Q13547,IC50,5.636388020107855,CHEMBL5187984,CHEMBL325
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCCC(=O)NO)ccc1Cl,Q13547,IC50,5.847711655616943,CHEMBL5200566,CHEMBL325
C#CCN(C)CCCOc1cc(NCc2ccc(C(=O)NO)cc2)ccc1Cl,Q13547,IC50,5.600326278518962,CHEMBL5178014,CHEMBL325
C#CCN(C)CCCOc1cc(NCc2ccc(C=CC(=O)NO)cc2)ccc1Cl,Q13547,IC50,6.292429823902063,CHEMBL5191350,CHEMBL325
C#CCN(C)CCCOc1ccc(NC(=O)CCCCCCC(=O)NO)cc1Cl,Q13547,IC50,6.853871964321762,CHEMBL5182215,CHEMBL325
C#CCN(C)CCCOc1cccc(NC(=O)CCCCCCC(=O)NO)c1Cl,Q13547,IC50,6.050609993355087,CHEMBL5193384,CHEMBL325
C#CCN(C)Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,Q13547,IC50,6.171984935776023,CHEMBL5171489,CHEMBL325
C#Cc1ccc(-n2nc(N)c(C(=O)NCc3ccc(C(=O)NO)cc3)n2)cc1,Q13547,IC50,8.769551078621726,CHEMBL5432435,CHEMBL325
C#Cc1ccc(-n2nc(N)c(C(=O)NCc3ccc(C(=O)Nc4ccccc4N)cc3)n2)cc1,Q13547,IC50,7.107905397309519,CHEMBL5398608,CHEMBL325
C#Cc1cccc(Nc2cccc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,Q13547,IC50,8.356547323513812,CHEMBL4637274,CHEMBL325
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(C=CC(=O)NO)c4)cc23)c1,Q13547,IC50,8.187086643357144,CHEMBL3218002,CHEMBL325
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(C=CC(=O)Nc5ccccc5N)c4)cc23)c1,Q13547,IC50,7.387216143280264,CHEMBL3218001,CHEMBL325
C=C(CCCCCCC(=O)NO)c1ccc2ccccc2c1,Q13547,IC50,8.096910013008056,CHEMBL95535,CHEMBL325
C=C(Cc1ccc(O)c(Br)c1)C(=O)NCCS,Q13547,IC50,6.376750709602099,CHEMBL2047683,CHEMBL325
C=C1CN(Cc2ccc(C(=O)Nc3ccccc3N)cc2)C(=O)c2ccccc21,Q13547,IC50,5.318758762624412,CHEMBL4294949,CHEMBL325
C=C=CC(=O)N1CCC(OC(=O)NCc2ccc(C(=O)Nc3ccccc3N)cc2)CC1,Q13547,IC50,6.164309428507575,CHEMBL5401232,CHEMBL325
C=CC(=O)N1CCC(OC(=O)NCc2ccc(C(=O)Nc3ccccc3N)cc2)CC1,Q13547,IC50,6.22767829327708,CHEMBL5397465,CHEMBL325
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(CCC(=O)NO)nn1,Q13547,IC50,7.031517051446065,CHEMBL4793338,CHEMBL325
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(CCCC(=O)NO)nn1,Q13547,IC50,7.1249387366083,CHEMBL4759072,CHEMBL325
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(CCCCC(=O)NO)nn1,Q13547,IC50,6.534617148551582,CHEMBL4744985,CHEMBL325
C=CC(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCc1cn(CCC(=O)NO)nn1,Q13547,IC50,7.356547323513812,CHEMBL4759697,CHEMBL325
C=CC(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCc1cn(CCCC(=O)NO)nn1,Q13547,IC50,7.468521082957745,CHEMBL4794998,CHEMBL325
