nonstereo_aromatic_smiles,accession,standard_type,pPot_mean,chembl_cid,chembl_tid
Brc1ccc(-c2nn(-c3ccccc3)cc2-c2nc3ccccc3[nH]2)cc1,Q16790,Kd,7.258848401148215,CHEMBL3809848,CHEMBL3594
C#CCCCOc1ccc2ccc(=O)oc2c1,Q16790,Kd,6.080921907623926,CHEMBL3121782,CHEMBL3594
C#CCCCOc1ccc2ccc(=S)oc2c1,Q16790,Kd,6.657577319177793,CHEMBL3760055,CHEMBL3594
C#CCN(CC#C)CCCCOc1ccc(S(N)(=O)=O)cc1,Q16790,Kd,8.42021640338319,CHEMBL4435346,CHEMBL3594
C#CCN(CC#C)CCc1ccc(S(N)(=O)=O)cc1,Q16790,Kd,7.254144804826271,CHEMBL4566851,CHEMBL3594
C#CCN(CC#C)c1ccc(S(N)(=O)=O)cc1,Q16790,Kd,8.045757490560675,CHEMBL3402973,CHEMBL3594
C#CCN1C(=O)c2ccccc2S1(=O)=O,Q16790,Kd,6.6777807052660805,CHEMBL3125560,CHEMBL3594
C#CCNC(=O)c1ccc(S(N)(=O)=O)cc1,Q16790,Kd,6.94692155651658,CHEMBL386542,CHEMBL3594
C#CCNc1ccc(S(N)(=O)=O)cc1,Q16790,Kd,6.3810110796350665,CHEMBL4454802,CHEMBL3594
C#CCNc1ccc2c(C)cc(=O)oc2c1,Q16790,Kd,6.767512133647013,CHEMBL4586124,CHEMBL3594
C#CCOC(=O)c1ccc(S(N)(=O)=O)cc1,Q16790,Kd,6.982966660701219,CHEMBL217569,CHEMBL3594
C#CCOC1=NS(=O)(=O)OC(C)=C1,Q16790,Kd,6.598599459218455,CHEMBL3322438,CHEMBL3594
C#CCOP(=O)(Oc1ccc(S(N)(=O)=O)cc1)c1ccccc1,Q16790,Kd,7.650253421049524,CHEMBL4447288_CHEMBL4464493_CHEMBL4519039,CHEMBL3594
C#CCOc1c(C=NCc2ccc(S(N)(=O)=O)cc2)cccc1OC,Q16790,Kd,5.925915310971757,CHEMBL4435171,CHEMBL3594
C#CCOc1cc(N(CC)CC)ccc1C=NCc1ccc(S(N)(=O)=O)cc1,Q16790,Kd,6.703554205793604,CHEMBL4556773,CHEMBL3594
C#CCOc1ccc(Br)cc1C=NCc1ccc(S(N)(=O)=O)cc1,Q16790,Kd,6.721703791908726,CHEMBL4476824,CHEMBL3594
C#CCOc1ccc(C=NCc2ccc(S(N)(=O)=O)cc2)cc1,Q16790,Kd,6.637329070274333,CHEMBL4539044,CHEMBL3594
C#CCOc1ccc(C=NCc2ccc(S(N)(=O)=O)cc2)cc1OC,Q16790,Kd,7.090443970758825,CHEMBL4514845,CHEMBL3594
C#CCOc1ccc(S(N)(=O)=O)cc1,Q16790,Kd,8.086186147616283,CHEMBL3402961,CHEMBL3594
C#CCOc1ccc([N+](=O)[O-])cc1C=NCc1ccc(S(N)(=O)=O)cc1,Q16790,Kd,6.674074044228534,CHEMBL4582534,CHEMBL3594
C#CCOc1ccc2c(c1)C=CS(=O)(=O)O2,Q16790,Kd,6.3239468753481285,CHEMBL4448721,CHEMBL3594
C#CCOc1ccc2c(c1)OS(=O)(=O)C=C2,Q16790,Kd,5.208477769214375,CHEMBL4519372,CHEMBL3594
C#CCOc1ccc2ccc(=O)oc2c1,Q16790,Kd,5.8696662315049934,CHEMBL308819,CHEMBL3594
C#CCOc1ccc2ccc(=S)oc2c1,Q16790,Kd,4.380906669373258,CHEMBL3758522,CHEMBL3594
C#CCOc1ccc2ccccc2c1C=NCc1ccc(S(N)(=O)=O)cc1,Q16790,Kd,5.963371104637838,CHEMBL4471510,CHEMBL3594
C#CCOc1ccc2oc(=O)ccc2c1,Q16790,Kd,5.323525878830901,CHEMBL3322093,CHEMBL3594
C#CCOc1cccc(C=NCc2ccc(S(N)(=O)=O)cc2)c1,Q16790,Kd,5.692932049338702,CHEMBL4460516,CHEMBL3594
C#CCOc1ccccc1C=NCc1ccc(S(N)(=O)=O)cc1,Q16790,Kd,5.971428747307463,CHEMBL4572678,CHEMBL3594
C#CCSc1ccc(S(N)(=O)=O)cc1,Q16790,Kd,8.119186407719209,CHEMBL4462614,CHEMBL3594
C#CCSc1ccncc1S(N)(=O)=O,Q16790,Kd,8.200659450546418,CHEMBL1164486,CHEMBL3594
C#Cc1cccc(S(N)(=O)=O)c1,Q16790,Kd,7.182434630440219,CHEMBL1232090,CHEMBL3594
C=C(C)C(COC(=O)c1cccnc1)c1c(OC)ccc2ccc(=O)oc12,Q16790,Kd,6.173925197299173,CHEMBL2334352,CHEMBL3594
C=C(C)C=Cc1c(OC)c2c(c3ccc(=O)oc13)OC(C)(C)C=C2,Q16790,Kd,6.207608310501746,CHEMBL2334004,CHEMBL3594
C=C(C)CNS(=O)(=O)c1ccc(N)cc1,Q16790,Kd,5.460672936460625,CHEMBL2333969,CHEMBL3594
C=C(Cl)CN(CC(=C)Cl)S(=O)(=O)c1ccc(N)cc1,Q16790,Kd,7.135488918941608,CHEMBL2333977,CHEMBL3594
C=C(Cl)CNS(=O)(=O)c1ccc(N)cc1,Q16790,Kd,7.045757490560675,CHEMBL2333976,CHEMBL3594
C=CCN1C(=O)C(=Nc2ccc(S(N)(=O)=O)cc2)c2ccccc21,Q16790,Kd,7.856985199745905,CHEMBL5180751,CHEMBL3594
C=CCN1C(=O)C=C(C)OS1(=O)=O,Q16790,Kd,6.941573975542994,CHEMBL3321764,CHEMBL3594
C=CCN1C(=O)c2ccccc2S1(=O)=O,Q16790,Kd,6.853871964321762,CHEMBL3125561,CHEMBL3594
C=CCNC(=S)NNC(=O)c1ccccc1O,Q16790,Kd,6.119186407719209,CHEMBL3633783,CHEMBL3594
C=CCNC(=S)NNC(=O)c1ccncc1,Q16790,Kd,6.013228265733755,CHEMBL1479002,CHEMBL3594
C=CCNc1ccc(S(N)(=O)=O)cc1,Q16790,Kd,5.854492828590337,CHEMBL2333964,CHEMBL3594
C=CCNc1ccncc1S(N)(=O)=O,Q16790,Kd,7.920818753952375,CHEMBL1164966,CHEMBL3594
C=CCOC1=NS(=O)(=O)OC(C)=C1,Q16790,Kd,6.701146923590294,CHEMBL3322437,CHEMBL3594
C=CCOc1cc(=O)oc2ccccc12,Q16790,Kd,6.6777807052660805,CHEMBL1957180,CHEMBL3594
