canonical_smiles,pIC50,set
C=C(CN1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12)C(N)=O,5.29,Train
C=C(CN1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12)C(=O)OC,6.11,Train
C=C(CN1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12)C(=O)O,5.62,Train
C=C(CN(C(=O)C1CCOc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)Nc1ccccc1,6.45,Train
C=C(CN(C(=O)C1CCOc2ccc(Cl)cc21)c1cncc2ccccc12)C(N)=O,5.56,Train
CN1C(=O)N(c2cncc3ccccc23)C(=O)C12CN(Cc1ccccc1)C2,5.4,Train
O=C1N[C@]2(C[C@@H](c3ccccc3Cl)C2)C(=O)N1c1cncc2ccccc12,7.84,Train
CN1CCN(c2ccccc2NC(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)CC1,5.78,Train
O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NCc1cccc(Br)c1,7.35,Train
O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)Nc1ccc(N2CCOCC2=O)cc1,7.17,Train
O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NCc1ccccc1,7.22,Train
O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NCc1ccc(Br)cc1,6.86,Train
O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NCc1cc(Cl)cc(Cl)c1,7.16,Train
O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NCc1ccc2c(c1)OCO2,6.95,Train
O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NCc1ccc(F)cc1,7.11,Train
O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NCc1cccc(Cl)c1,7.02,Train
CC(C)(NC(=O)CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)c1ccccc1,6.74,Train
CC(=O)Nc1ccc(NC(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)cc1,7.47,Train
CC(C)(C)N(Cc1ccccc1)C(=O)CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1,6.0,Train
CC(=O)Nc1ccc(N(C)C(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)cc1,5.83,Train
O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NCc1ccc(CCO)cc1,7.1,Train
O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NCc1cccc(F)c1,7.14,Train
O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NCCc1cccc(Cl)c1,7.21,Train
CN(CCc1ccccc1)C(=O)CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1,6.01,Train
O=c1c(-c2cccc(Cl)c2)cnc(S)n1-c1cncc2ccccc12,6.86,Train
C=CC(=O)Nc1ccccc1N(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12,5.16,Train
C=CC(=O)NC(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,5.5,Train
O=C1[C@@H]2CCCCN2C(=O)N1c1cncc2ccccc12,4.19,Train
C[C@H]1CC[C@@H]2C(=O)N(c3cncc4ccccc34)C(=O)N2C1,4.65,Train
C[C@H]1CC[C@H]2C(=O)N(c3cncc4ccccc34)C(=O)N2C1,4.37,Train
C[C@H]1CC[C@@H]2C(=O)N(c3cncc4ccccc34)C(=O)N2C1,4.21,Train
O=C1N[C@]2(C[C@@H](c3ccc(Cl)cc3)C2)C(=O)N1c1cncc2ccccc12,7.04,Train
O=C1N[C@]2(C[C@@H](c3ccccc3)C2)C(=O)N1c1cncc2ccccc12,6.87,Train
CO[C@H]1CCN2C(=O)N(c3cncc4ccccc34)C(=O)[C@@H]2C1,4.03,Train
O=C(O)CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1,5.01,Train
O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)NCc1c(Cl)cccc1Cl,6.75,Train
COc1cc(CNC(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)cc(OC)c1,7.16,Train
