nonstereo_aromatic_smiles,solubility
CCCCCC(=O)OC,-2.49
CCCCO,-4.72
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,-3.04
NC1CCCCC1,-4.59
O=COc1ccccc1,-3.82
CCC(=O)OC,-2.93
Clc1cccc(Cl)c1,-0.98
CCI,-0.74
CC(C)CC(C)(C)C,2.89
CCOCC,-1.59
C=C(C)C1CCC(C)C(=O)C1,-3.75
Oc1ccccc1Cl,-4.55
CSc1ccccc1,-2.73
CCCI,-0.53
CC(C)Cl,-0.25
CCCCC[N+](=O)[O-],-2.82
OC1CCCCCC1,-5.48
CC(C)(C)C,2.51
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-0.64
CCCCOCCCC,-0.83
CCOP(=O)(OCC)OCC,-7.5
ClCC(Cl)Cl,-1.99
COC(=O)c1ccc([N+](=O)[O-])cc1,-6.88
CCCCN(CC)C(=O)SCCC,-3.64
Cc1cncc(C)c1,-4.84
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-5.22
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,-9.01
Cc1cccc(C)c1,-0.83
Cc1ccc(C(C)C)cc1,-0.68
Clc1cc2c(cc1Cl)Oc1ccccc1O2,-3.56
CCCCCCCC(C)=O,-2.49
Cc1ccncc1,-4.93
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-8.42
CCCCS,-0.99
Cc1cccc(O)c1C,-6.16
CCCCCC(=O)OCC,-2.23
CC(C)OC(C)C,-0.53
CO,-5.1
CC(C)(C)O,-4.47
C1COCCN1,-7.17
C=CCC,1.38
C#CCCCC,0.29
CS(C)(=O)=O,-10.08
COC=O,-2.78
CCCC(=O)OCC,-2.49
FC1(F)C(F)(F)C(F)(F)C1(F)F,3.43
NC(=O)c1ccccc1,-11.0
c1ccc2c(c1)Oc1ccccc1O2,-3.15
Oc1ccc(Br)cc1,-5.85
CCCCCC(=O)O,-6.21
CCOC(=O)CCC(=O)OCC,-5.71
Cc1cccc(C)c1O,-5.26
Cc1ccccc1Cl,-1.14
COP(=S)(OC)SCn1nnc2ccccc2c1=O,-10.03
COC(=O)C(C)(C)C,-2.4
BrCCBr,-2.33
CCS,-1.14
CCC(C)C,2.38
Cc1c[nH]c2ccccc12,-5.88
CCCCCC=O,-2.81
FC(F)(Cl)C(F)(Cl)Cl,1.77
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-6.5
Clc1cc(Cl)c(Cl)c(Cl)c1,-1.62
ClCCCl,-1.79
OCCc1ccccc1,-6.79
CCCS,-1.1
Cc1ccccc1,-0.9
CCC(=O)CC,-3.41
CCCC(C)=O,-3.52
ClCC(Cl)(Cl)Cl,-1.43
CCCCCCCl,0.0
OC1COC(O)C(O)C1O,-20.52
C=C(C)CCC,1.47
CCC(C)O,-4.62
BrCc1ccccc1,-2.38
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,-7.19
CCCC,2.1
S,-0.7
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-9.73
CN(C)CCOC(c1ccccc1)c1ccccc1,-9.34
C[N+](=O)[O-],-4.02
CNC(C)=O,-10.0
CC=O,-3.5
CC(=O)C1CC1,-4.61
CCCCCCCCC=O,-2.07
CCCCl,-0.33
Cc1cc(C)cc(C)c1,-0.9
c1ccc(-c2ccccc2)cc1,-2.7
CC,1.83
FC(F)OC(Cl)C(F)(F)F,0.1
CC(=O)C1CCCCC1,-3.9
CCSC,-1.5
Oc1ccccc1,-6.6
CCC,2.0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,-7.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-10.78
CC(C)I,-0.46
N#Cc1ccc(O)cc1,-10.17
CCc1ccccc1O,-5.66
C=CC(C)C,1.83
C=O,-2.75
CCCCCCl,-0.1
CCC(C)c1ccccc1,-0.45
CCCCCCCCCC,3.16
CCCl,-0.63
CCC(C)CC,2.51
CC(C)CO,-4.5
c1cc2c3c(cccc3c1)CC2,-3.15
COc1ccc2cc(C(C)C(=O)O)ccc2c1,-10.21
COC(OC)OC,-4.42
CCOC=O,-2.56
COC(=O)c1ccc(O)cc1,-9.51
CCO,-5.0
O=C1c2ccccc2C(=O)c2c(NCCO)cccc21,-14.21
CCCCCC1CCCC1,2.55
CCCCC(=O)OC,-2.56
CCc1cccc(O)c1,-6.25
CCCCOC(C)=O,-2.64
Cc1ccncc1C,-5.22
CCCC(=O)CCC,-2.92
CCOC(=O)CC(=O)OCC,-6.0
CCN,-4.5
CCCOC,-1.66
Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,-11.85
N#Cc1ccccc1,-4.1
COc1cccc(O)c1,-7.66
O=[N+]([O-])C(Cl)(Cl)Cl,-1.45
ClCc1ccccc1,-1.93
CCCCC(C)=O,-3.28
Clc1ccccc1Cl,-1.36
ClC(Cl)C(Cl)(Cl)Cl,-1.23
C=C(Cl)Cl,0.25
CCCN(CC1CC1)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-2.45
CCCCCCCBr,0.34
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-5.74
Nc1cnn(-c2ccccc2)c(=O)c1Cl,-16.43
CCCC(C)(C)C,2.88
c1cc2ccc3cccc4ccc(c1)c2c34,-4.52
CCCCCCOC(C)=O,-2.26
CCC(C)(C)CC,2.56
COc1ccccc1OC,-5.33
O=[N+]([O-])OCCCO[N+](=O)[O-],-4.8
Cc1ccc(C(=O)N(C)C)cc1,-9.76
N#Cc1cccc(O)c1,-9.65
Clc1cc(Cl)cc(Cl)c1,-0.78
C1CCCCC1,1.23
CC(C)Cc1cnccn1,-5.04
CCCN(CCC)c1c([N+](=O)[O-])cc(S(C)(=O)=O)cc1[N+](=O)[O-],-7.98
CC(=O)N1CCCC1,-9.8
O=c1[nH]cc(I)c(=O)[nH]1,-18.72
O=[N+]([O-])c1ccc(O)cc1,-10.64
CCOc1ccccc1,-2.22
CN1CCNCC1,-7.77
O=C1NC(=O)c2ccccc21,-9.61
C1CC1,0.75
Clc1cccnc1,-4.01
CCCC=CC=O,-3.68
CCCCBr,-0.4
c1ccc2ccccc2c1,-2.4
c1cc[nH]c1,-4.78
Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,-3.84
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,-3.37
O=Cc1ccccc1O,-4.68
C=Cc1ccccc1,-1.24
CCCC(C)O,-4.39
CC(C)CO[N+](=O)[O-],-1.88
CC(=O)Oc1ccccc1C(=O)O,-9.94
CCc1ccc(O)cc1,-6.13
Cc1ccc(O)cc1,-6.13
CC(C)CC(=O)O,-6.09
CCCNCCC,-3.65
Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,-3.71
c1ccncc1,-4.69
c1ccc2c(c1)Cc1ccccc1C2,-3.78
c1ccsc1,-1.4
C=C(C)C,1.16
ClC(Cl)Cl,-1.08
OCC(F)(F)F,-4.31
C=CC,1.32
CC(=O)O,-6.69
CCc1ccccc1C,-0.85
CCNc1nc(NC(C)C)nc(SC)n1,-7.65
c1ccccc1,-0.9
CC(C)CCC(C)(C)C,2.93
COCOC,-2.93
Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,-11.14
CCCO,-4.85
Cc1ccc(C)c(O)c1,-5.91
CCCCCCCCCCO,-3.64
CCCCCCCC,2.88
Nc1ccccc1Cl,-4.91
Cc1ccc(C)c(C)c1,-0.86
Cc1ccccc1N,-5.53
Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-9.41
CC(CO[N+](=O)[O-])O[N+](=O)[O-],-4.95
C1=CCCCC1,0.14
Cc1ccc(C)cc1,-0.8
OCC(O)CO,-13.43
Nc1ccc2ccccc2c1,-7.47
COc1cc(C=O)c(Cl)c(OC)c1O,-7.78
CN(CC(F)(F)F)c1ccccc1,-1.92
COC(C)C,-2.01
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,-3.17
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-6.23
CCCCC(=O)CCCC,-2.64
[O-][S+2]1([O-])CCCC1,-8.61
COC(OC)(OC)c1ccccc1,-4.04
CCCc1ccc(O)c(OC)c1,-5.26
CC(F)F,-0.11
O=c1[nH]cc(F)c(=O)[nH]1,-16.92
CCCCCCCCCO,-3.88
C1CCOCC1,-3.12
Ic1ccccc1,-1.74
CCCC(C)(C)O,-3.92
FCCl,-0.77
Cc1cccc(C)c1C,-1.21
CC(=O)c1ccc(C)cc1,-4.7
COc1ccccc1O,-5.94
CC(=O)OCCOC(C)=O,-6.34
CCCCCc1ccccc1,-0.23
CCCCCCO,-4.4
CCCCCOC(=O)CC,-2.11
CCCCCC(C)=O,-3.04
COC(CCl)(OC)OC,-4.59
CCCCCCCCO,-4.09
CCCCCl,-0.16
Oc1ccc2ccccc2c1,-8.11
O=C1CCCCC1,-4.91
CCOC(C)OCC,-3.28
CCCOC(=O)CCC,-2.28
C=CCCCCCCC,2.06
Cc1ccc(C)c2ccccc12,-2.82
O=C1C=CC(=O)C=C1,-6.5
CCCCCBr,-0.1
C=C(C)c1ccccc1,-1.24
CC(Cl)(Cl)Cl,-0.19
ClCCl,-1.31
Cn1cccc1,-2.89
Nc1cccc([N+](=O)[O-])c1,-8.84
CCCCCCO[N+](=O)[O-],-1.66
Nc1cccc2ccccc12,-7.28
CC(C)=O,-3.8
O=C1CCCC1,-4.7
COC(=O)c1ccccc1,-3.92
O=Cc1ccccc1,-4.02
CCOC(=O)c1ccccc1,-3.64
